make_year,mileage_kmpl,engine_cc,owner_count,accidents_reported,fuel_type_Electric,fuel_type_Petrol,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,transmission_Manual,color_Blue,color_Gray,color_Red,color_Silver,color_White,service_history_Partial,insurance_valid_Yes,price_usd
2016,18.48,1000,2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,5591.11
2015,16.38,5000,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,13054.69
1996,17.38,3000,2,1,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,5209.92
2018,13.98,1000,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,4916.24
2006,19.98,1800,3,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,5906.84
2000,8.96,2000,4,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2626.29
1996,20.02,1800,5,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,5167.78
2022,14.14,2000,2,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,7992.87
2015,15.5,2000,5,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,4481.1
1995,20.19,1200,2,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5047.31
2006,18.39,1200,4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,7529.89
2020,23.27,4000,3,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,11362.28
2016,13.15,1200,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8934.87
2023,17.6,1200,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,9565.19
2006,22.44,1000,5,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3616.11
2019,19.81,2500,2,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,11251.36
2011,20.13,5000,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,10860.67
2021,23.54,5000,5,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,12256.44
2021,15.97,1500,2,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,6901.08
2004,14.92,800,4,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,1858.64
2022,20.88,2000,5,1,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,6916.32
2022,17.25,1800,2,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,8983.39
2010,23.61,1000,3,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,6654.31
2009,19.85,2000,5,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,6340.6
2009,14.88,800,2,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,3263.63
2013,19.69,1200,3,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,6564.08
2006,13.49,1500,3,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4548.99
2017,22.73,1200,1,2,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,7396.53
2014,11.01,2000,2,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,6603.26
2019,24.11,1500,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,10558.87
1997,19.6,800,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,3727.01
1999,17.18,1800,4,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7775.41
2013,21.82,1800,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9200.45
2001,20.56,4000,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,10397.17
2015,24.65,3000,4,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,8650.95
2003,24.61,3000,4,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,9899.66
2001,19.76,1800,5,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,4395.65
2012,13.64,3000,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,8282.81
1998,15.29,5000,3,1,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,8083.56
2019,17.64,2500,4,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,8216.22
2022,23.41,800,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6903.49
2008,15.72,2500,5,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,5304.48
2012,16.14,3000,5,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,6862.02
2020,27.24,1200,1,0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,11413.96
2003,17.48,4000,3,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,8191.43
2020,14.83,3000,4,1,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,8248.22
2015,21.88,1000,2,0,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,8819.21
1996,17.72,2000,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,7194.95
2014,11.05,1500,3,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,5150.71
2022,23.2,1200,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,8327.32
2009,14.26,2000,1,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,6737.61
2022,18.22,5000,5,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,12125.07
2001,17.66,4000,2,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,8567.0
2006,19.15,1000,2,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,5113.9
2023,7.04,5000,2,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,12985.97
2002,16.32,5000,2,0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,9291.24
2009,23.62,5000,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,10490.67
1997,24.33,1800,4,0,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,6128.32
2008,13.04,2000,2,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,5764.27
2011,22.6,1500,3,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,6549.19
1998,14.19,2500,4,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,4597.91
2012,16.13,1000,4,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,5888.31
2002,16.39,2500,3,0,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,5042.59
1998,18.54,1000,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,2193.27
1996,23.01,800,1,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,4351.08
2000,19.32,1800,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,4234.82
2016,17.37,1000,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,10738.88
2004,22.84,3000,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,8821.93
1998,13.99,3000,3,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7058.39
2016,17.61,800,2,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,5974.08
2023,22.98,1500,1,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,8841.47
2012,20.65,4000,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,11386.9
2020,15.67,1800,5,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,6962.45
2006,10.44,5000,2,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,9338.5
1996,19.55,2000,3,0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,5190.94
2004,10.11,1200,3,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,3953.91
1998,16.94,1800,5,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,3280.74
2008,23.89,800,3,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,6286.89
2010,20.98,3000,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10376.58
2009,7.88,2000,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,5115.91
2002,19.0,1000,2,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,4968.68
2008,16.4,1500,3,2,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,8391.33
2017,11.63,1500,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,6147.01
2022,19.68,4000,4,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,10939.12
2019,15.54,4000,5,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,7848.84
2002,15.57,1800,4,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,5345.06
2015,18.62,1200,2,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,7472.53
2010,14.87,800,3,1,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,2462.72
2007,18.48,2000,5,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,4981.61
2012,15.03,3000,4,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,7840.34
2009,15.31,800,2,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,5641.82
2015,22.96,800,3,0,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,8842.66
2018,23.47,2500,2,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,9419.87
2020,9.46,2500,4,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,7652.52
2019,21.74,1000,4,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,5677.46
2022,24.99,1200,5,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,8662.69
2022,25.79,1000,3,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,7897.75
2022,20.6,2000,1,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,9866.21
2007,12.71,3000,2,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,8823.31
2003,21.15,3000,3,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,7364.01
2023,13.65,800,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,8546.18
2009,16.29,4000,3,1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,7599.75
2007,19.92,3000,2,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,9493.81
1995,13.98,4000,2,1,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,8360.51
2019,12.27,4000,5,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,7168.89
2001,20.33,2000,4,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,4666.03
2003,27.34,1200,4,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,5336.48
2018,24.22,800,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7016.61
1995,21.54,3000,5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6545.0
2006,22.9,5000,4,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,9050.98
2002,21.19,1200,3,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7622.55
2018,20.25,2500,4,1,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,7340.05
2005,22.49,5000,4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9640.03
2013,11.16,2000,2,0,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,7490.07
2011,19.0,1200,5,1,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,3833.56
2002,17.6,2000,5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,4314.29
1997,18.39,1200,4,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,2513.59
1997,15.69,4000,1,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,9336.12
1995,20.6,800,2,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,1488.02
2021,13.91,3000,4,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9960.68
1999,15.33,1800,1,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,6778.35
2004,14.73,1500,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,5112.66
2001,22.32,800,2,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,4655.34
2020,17.94,4000,5,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,8012.16
2003,15.7,4000,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,9876.22
2022,16.13,1800,4,2,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,8344.84
2001,18.02,4000,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9313.76
2003,26.11,5000,5,0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,9329.93
2002,11.82,4000,3,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,9081.22
2006,21.38,2500,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7248.65
1996,20.36,3000,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,6873.04
1995,13.59,800,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,3508.18
2010,25.33,1500,3,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,6516.66
2017,20.7,5000,1,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,15872.61
2017,15.46,5000,3,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,15287.96
2018,8.7,1500,3,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,6477.7
1999,19.15,4000,2,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,9058.47
1997,17.78,1200,2,1,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,7185.76
2006,12.85,5000,4,0,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,9244.95
2002,12.78,5000,4,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,9491.03
2016,22.34,800,4,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,5779.98
2021,8.22,1800,3,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,4914.53
1997,19.57,2500,3,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,4723.77
1995,17.06,1500,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,5099.0
1997,20.49,4000,3,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,8792.4
1999,16.53,2000,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,4195.33
2009,19.47,2000,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,7042.82
2008,14.29,1200,4,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,3499.95
1997,17.75,5000,4,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,10036.61
1995,20.45,5000,5,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,6562.53
1999,18.75,1800,2,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,4586.94
2020,19.9,5000,5,1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,11867.57
2017,13.36,2000,4,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,5109.32
2008,15.05,1500,5,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,4237.77
2001,15.13,1200,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,6621.91
2021,16.62,1800,5,0,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,5906.24
2003,24.79,2500,1,1,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,7555.63
2009,16.23,2000,4,0,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,5516.44
2009,12.28,1000,3,2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,3659.65
2020,20.71,800,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,7180.43
2004,24.73,1800,5,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,9413.59
2022,11.69,1800,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,9169.91
2007,27.86,2000,4,1,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,8307.23
2013,20.08,1200,4,0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5484.11
2001,23.17,800,3,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,3959.19
2011,25.34,1500,4,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,6548.13
2014,22.86,1500,4,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,4960.39
2023,17.45,5000,3,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,13977.93
1998,24.09,1000,4,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,3115.8
1999,19.27,3000,1,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,7518.48
2017,23.45,2000,5,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,7691.52
2001,24.0,1200,5,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,2957.44
2007,12.55,800,1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,3914.74
2009,21.97,1200,5,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,5076.83
2005,17.09,3000,4,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,7137.36
2023,18.69,1500,5,0,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,12130.73
1998,18.64,1200,5,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,2879.82
2007,18.43,1500,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,5446.82
2001,25.62,1500,5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,6699.4
2021,11.17,1000,4,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,5736.05
2013,9.39,1500,3,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,5659.79
2016,8.33,4000,3,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,6386.74
2022,23.35,1500,5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6864.9
1996,14.13,800,3,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2399.79
2004,18.66,800,5,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,2177.79
2007,17.43,800,3,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,4454.46
2019,13.57,1800,5,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,6796.85
2015,22.26,2000,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,9244.49
2000,17.36,2000,1,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,5874.48
2022,16.81,2000,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,6659.85
2022,19.16,4000,4,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,11086.06
2006,21.6,800,1,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,5172.28
2006,13.21,5000,5,1,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,8117.19
2014,22.36,2000,1,0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,8401.5
2005,25.25,3000,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,7333.1
2020,10.87,3000,4,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,7986.23
2017,19.39,1200,5,1,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,5119.76
2022,16.48,1800,3,1,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,9315.03
2019,21.5,5000,3,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,13095.73
2001,11.92,1500,2,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,4500.31
1995,26.14,800,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3403.0
1995,9.96,4000,2,1,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,5470.93
2019,16.78,1800,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,7977.88
2021,20.17,1000,2,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,10722.17
2019,14.57,1000,3,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,5035.78
2014,13.78,2500,4,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,6229.3
2007,19.11,1500,3,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,4944.42
2003,18.39,800,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,5055.62
1997,18.03,1800,3,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,4177.78
2001,22.29,1000,4,2,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,3210.27
2000,16.03,2500,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,7159.23
2002,19.6,4000,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9439.56
2021,15.47,800,5,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,6328.71
2003,13.75,1000,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3144.73
1999,16.58,2000,5,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3698.34
1995,15.51,3000,5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,4076.74
2013,15.76,2500,1,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,8725.91
2004,23.83,4000,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,8816.8
2006,16.73,1000,3,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,8395.17
